,country,population,capital,region,continent
0,Afghanistan,26023100.0,Kabul,Southern and Central Asia,Asia
1,Albania,2895947.0,Tirana,Southern Europe,Europe
2,Algeria,38700000.0,Algiers,Northern Africa,Africa
3,American Samoa,55519.0,Pago Pago,Polynesia,Oceania
4,Angola,24383301.0,Luanda,Central Africa,Africa
5,Anguilla,13452.0,The Valley,Caribbean,North America
6,Antigua and Barbuda,86295.0,Saint John's,Caribbean,North America
7,Argentina,42669500.0,Buenos Aires,South America,South America
8,Armenia,3009800.0,Yerevan,Middle East,Asia
9,Aruba,101484.0,Oranjestad,Caribbean,North America
10,Australia,,Canberra,Australia and New Zealand,Oceania
11,Austria,8527230.0,Vienna,Western Europe,Europe
12,Azerbaijan,9552500.0,Baku,Middle East,Asia
13,Bahrain,1316500.0,Manama,Middle East,Asia
14,Bangladesh,157486000.0,Dhaka,Southern and Central Asia,Asia
15,Belarus,9475100.0,Minsk,Eastern Europe,Europe
16,Belgium,11225469.0,Brussels,Western Europe,Europe
17,Belize,349728.0,Belmopan,Central America,North America
18,Benin,9988068.0,Porto-Novo,Western Africa,Africa
19,Bermuda,64237.0,Hamilton,North America,North America
20,Bhutan,755030.0,Thimphu,Southern and Central Asia,Asia
21,Bolivia,10027254.0,Sucre,South America,South America
22,Bosnia and Herzegovina,3791622.0,Sarajevo,Southern Europe,Europe
23,Botswana,2024904.0,Gaborone,Southern Africa,Africa
24,Brazil,203586000.0,Brasília,South America,South America
25,Brunei,393372.0,Bandar Seri Begawan,Southeast Asia,Asia
26,Bulgaria,7245677.0,Sofia,Eastern Europe,Europe
27,Burkina Faso,17322796.0,Ouagadougou,Western Africa,Africa
28,Burundi,9530434.0,Bujumbura,Eastern Africa,Africa
29,Cambodia,15184116.0,Phnom Penh,Southeast Asia,Asia
30,Cameroon,20386799.0,Yaoundé,Central Africa,Africa
31,Canada,35540419.0,Ottawa,North America,North America
32,Cape Verde,518467.0,Praia,Western Africa,Africa
33,Cayman Islands,55456.0,George Town,Caribbean,North America
34,Central African Republic,4709000.0,Bangui,Central Africa,Africa
35,Chad,13211000.0,N'Djamena,Central Africa,Africa
36,Chile,17819054.0,Santiago,South America,South America
37,China,1367110000.0,Beijing,Eastern Asia,Asia
38,Christmas Island,2072.0,Flying Fish Cove,Australia and New Zealand,Oceania
39,Colombia,47907800.0,Bogotá,South America,South America
40,Comoros,763952.0,Moroni,Eastern Africa,Africa
41,Cook Islands,14974.0,Avarua,Polynesia,Oceania
42,Costa Rica,4713168.0,San José,Central America,North America
43,Croatia,4267558.0,Zagreb,Southern Europe,Europe
44,Cuba,11210064.0,Havana,Caribbean,North America
45,Cyprus,858000.0,Nicosia,Middle East,Asia
46,Czech Republic,10521600.0,Prague,Eastern Europe,Europe
47,Democratic Republic of the Congo,69360000.0,Kinshasa,,
48,Denmark,5655750.0,Copenhagen,Nordic Countries,Europe
49,Djibouti,886000.0,Djibouti,Eastern Africa,Africa
50,Dominica,71293.0,Roseau,Caribbean,North America
51,Dominican Republic,10378267.0,Santo Domingo,Caribbean,North America
52,East Timor,1172390.0,Dili,Southeast Asia,Asia
53,Ecuador,15888900.0,Quito,South America,South America
54,Egypt,87668100.0,Cairo,Northern Africa,Africa
55,El Salvador,6401240.0,San Salvador,Central America,North America
56,Equatorial Guinea,1430000.0,Malabo,Central Africa,Africa
57,Estonia,1315819.0,Tallinn,Baltic Countries,Europe
58,Ethiopia,87952991.0,Addis Ababa,Eastern Africa,Africa
